cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Female,15-24,VT,Undergraduate,Other,Bar / Catering / Personale Di Sala / Cuochi / Chef,VR ,Hired
North Female,15-24,AL,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
North Female,25-34,AN,High School,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Female,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Not Hired
North Male,25-34,VT,Graduate,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,VR ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Not Hired
North Male,25-34,AN,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,VT,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,VT,Vocational Certificate,Lavoro subordinato,Segreteria / Servizi Generali,VR ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
Central Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,15-24,AN,Graduate,Other,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,55-74,AL,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,VR ,Hired
North Male,15-24,AL,High School,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
Central Female,15-24,AL,Unknown,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
North Female,15-24,AN,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AO ,Hired
North Female,15-24,AN,Graduate,Other,Segreteria / Servizi Generali,AO ,Hired
North Male,15-24,VT,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,25-34,AL,Graduate,Other,Segreteria / Servizi Generali,AO ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,15-24,AL,Unknown,Lavoro subordinato,Scientifico / Farmaceutico,VR ,Hired
Central Female,55-74,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,VR ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
Central Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
Central Female,15-24,AL,Undergraduate,Lavoro subordinato,Segreteria / Servizi Generali,VR ,Hired
North Female,15-24,AL,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,VT,High School,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AL,Unknown,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AL,High School,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AL,Graduate,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,25-34,VT,Vocational Certificate,Other,Segreteria / Servizi Generali,AN ,Hired
North Male,55-74,VT,High School,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,VT,Vocational Certificate,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AL,Graduate,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Not Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,AO ,Hired
North Male,15-24,VT,Graduate,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,VT,Vocational Certificate,Other,Bar / Catering / Personale Di Sala / Cuochi / Chef,AN ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,VR ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,VT,Graduate,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Male,15-24,AL,Graduate,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
Central Male,15-24,AL,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Not Hired
North Male,15-24,AL,Graduate,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Not Hired
North Male,15-24,AL,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,15-24,AL,Vocational Certificate,Other,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,AN,High School,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AN,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Female,15-24,AL,Graduate,Other,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,VT,Graduate,Lavoro subordinato,Scientifico / Farmaceutico,VR ,Hired
North Male,25-34,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
North Female,15-24,AN,Graduate,Other,Segreteria / Servizi Generali,AO ,Hired
North Female,15-24,AL,Unknown,Other,Segreteria / Servizi Generali,AN ,Hired
North Male,15-24,AN,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AO ,Hired
North Male,15-24,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,25-34,AL,Graduate,Other,Bar / Catering / Personale Di Sala / Cuochi / Chef,AN ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
Central Female,15-24,AL,Graduate,Lavoro subordinato,Segreteria / Servizi Generali,AN ,Hired
South Male,55-74,AL,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Female,55-74,VT,Graduate,Other,Segreteria / Servizi Generali,AN ,Hired
North Female,15-24,VT,Vocational Certificate,Other,Segreteria / Servizi Generali,VR ,Hired
North Male,15-24,AN,Vocational Certificate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,AN ,Hired
North Male,15-24,VT,Graduate,Lavoro subordinato,Assistenziale / Paramedico / Tecnico,VR ,Hired
