cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
South Female,35-44,MI,Unknown,Lavoro subordinato,Operai Specializzati,MB ,Not Hired
South Female,25-34,PN,Vocational Certificate,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Female,25-34,VE,Other,Ricerca e selezione,Finanza / Contabilità,BO ,Hired
South Male,15-24,RM,Other,Lavoro subordinato,Operai Generici,BO ,Hired
South Female,35-44,VR,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,GE ,Hired
South Female,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,TN ,Not Hired
Central Male,35-44,VA,Other,Lavoro subordinato,Manutenzione / Riparazione,BS ,Hired
South Male,35-44,BS,Other,Lavoro subordinato,Operai Generici,VA ,Not Hired
South Male,25-34,RM,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,BG ,Hired
South Male,55-74,CO,Unknown,Ricerca e selezione,Bar / Catering / Personale Di Sala / Cuochi / Chef,MI ,Not Hired
South Female,35-44,CN,Graduate,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,CN ,Not Hired
South Female,35-44,CO,Vocational Certificate,Lavoro subordinato,Commerciale / Vendita,MI ,Not Hired
South Male,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
South Male,45-54,VI,Unknown,Lavoro subordinato,Commerciale / Vendita,BO ,Hired
South Male,25-34,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,BO ,Hired
South Female,35-44,BS,Unknown,Lavoro subordinato,Manutenzione / Riparazione,VR ,Not Hired
South Female,25-34,PN,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
South Female,55-74,MO,Other,Lavoro subordinato,Operai Specializzati,VI ,Not Hired
Central Female,35-44,MI,Unknown,Lavoro subordinato,Operai Specializzati,VA ,Not Hired
South Male,45-54,BG,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,MN ,Not Hired
South Male,35-44,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,VI ,Not Hired
South Female,45-54,VE,Unknown,Ricerca e selezione,Operai Specializzati,MO ,Hired
South Female,55-74,BG,Vocational Certificate,Lavoro subordinato,Manutenzione / Riparazione,BG ,Not Hired
South Female,25-34,MO,Unknown,Ricerca e selezione,Operai Specializzati,MC ,Not Hired
South Male,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Male,55-74,PD,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,TO ,Not Hired
South Female,35-44,MI,Unknown,Ricerca e selezione,Operai Generici,MI ,Not Hired
South Female,35-44,VE,Unknown,Ricerca e selezione,Operai Generici,BG ,Hired
South Male,25-34,UD,Unknown,Lavoro subordinato,Operai Specializzati,VI ,Not Hired
South Male,55-74,UD,Unknown,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,MI ,Hired
South Male,45-54,BO,Unknown,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,MI ,Not Hired
South Female,25-34,MI,Unknown,Lavoro subordinato,Operai Generici,VA ,Not Hired
South Male,25-34,MI,Unknown,Lavoro subordinato,Segreteria / Servizi Generali,TN ,Not Hired
South Female,15-24,BG,Higher Technical Institute,Lavoro subordinato,Finanza / Contabilità,VR ,Not Hired
Central Male,25-34,PD,Unknown,Ricerca e selezione,Operai Generici,TN ,Not Hired
South Male,45-54,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,RM ,Not Hired
South Female,25-34,MI,Unknown,Ricerca e selezione,Ingegneria / Ricerca e Sviluppo / Laboratorio,MO ,Not Hired
South Male,25-34,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Not Hired
South Female,45-54,MO,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,CO ,Hired
South Female,15-24,UD,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,25-34,MI,Unknown,Lavoro subordinato,Commerciale / Vendita,TV ,Not Hired
South Female,45-54,CR,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
South Male,55-74,SU,Unknown,Lavoro subordinato,Operai Generici,CN ,Hired
South Female,25-34,BG,Other,Ricerca e selezione,Commerciale / Vendita,TV ,Not Hired
South Male,25-34,MI,Unknown,Lavoro subordinato,Finanza / Contabilità,MI ,Not Hired
South Female,35-44,MC,Unknown,Lavoro subordinato,Impiegati,UD ,Not Hired
South Female,25-34,TN,Other,Lavoro subordinato,Operai Generici,VR ,Not Hired
South Female,45-54,MO,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,VE ,Not Hired
Central Male,45-54,BS,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,VR ,Not Hired
South Female,25-34,GO,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Not Hired
South Female,45-54,VI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Hired
