fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,performance,Accuracy,0.7270252324037185,0.9340866660021114,0.5158593784059746
0,performance,Precision,0.6142857142857143,0.817885928235014,0.4523677995150184
0,performance,Recall,0.5932432432432432,0.7375522563724672,0.37225633175994316
0,performance,Roc Auc,0.6644913399314807,0.8649573058347912,0.43408645215857855
0,performance,F1,0.533533173461231,0.7707089816475897,0.2912208349266463
0,fairness,Demographic Parity Ratio,0.9251347532576274,0.4759815066482077,0.5331783536173775
0,fairness,Equalized Odds Ratio,0.95,0.6662549386243779,0.6277634993530594
1,performance,Accuracy,0.7359893758300133,0.9684245027227868,0.5699884835037858
1,performance,Precision,0.6510204081632653,0.8547062858106002,0.4693658667117402
1,performance,Recall,0.5972972972972973,0.7472381556013357,0.3944586099791762
1,performance,Roc Auc,0.6718000570993529,0.9154275223149182,0.48344127043136376
1,performance,F1,0.5483739837398374,0.7868956099131044,0.3563506747322206
1,fairness,Demographic Parity Ratio,0.95,0.5778678770060575,0.5942313762473886
1,fairness,Equalized Odds Ratio,0.8579942960246785,0.3721843395840369,0.47330194672276854
2,performance,Accuracy,0.7330013280212484,0.9597741747388749,0.5656634246194611
2,performance,Precision,0.6494736842105263,0.8808287544435393,0.4490099734779288
2,performance,Recall,0.581081081081081,0.693403179736446,0.3488824365271365
2,performance,Roc Auc,0.6643521602588504,0.8662641647845492,0.45883735972933215
2,performance,F1,0.5360082304526749,0.758791788442655,0.3149500629190295
2,fairness,Demographic Parity Ratio,0.95,0.5934411656448901,0.6235639252409344
2,fairness,Equalized Odds Ratio,0.8375958623149635,0.5092339270518776,0.47938910373485266
3,performance,Accuracy,0.7369853917662683,0.9546649951830761,0.5819729053378341
3,performance,Precision,0.6436399217221135,0.8811229835360123,0.48079275257894316
3,performance,Recall,0.6135135135135135,0.7431208345993906,0.4629210709697576
3,performance,Roc Auc,0.6779275314046441,0.8918676108384775,0.4974676993071111
3,performance,F1,0.5575139888089528,0.8023455687637819,0.39877570227729264
3,fairness,Demographic Parity Ratio,0.95,0.5389421142904047,0.6654360397776644
3,fairness,Equalized Odds Ratio,0.9469135802469136,0.6031695659782149,0.5693572493850929
4,performance,Accuracy,0.7416334661354582,0.9682846692911509,0.5773461495250541
4,performance,Precision,0.6656565656565657,0.9137712267615309,0.4656098341084325
4,performance,Recall,0.6121621621621621,0.7550464402532537,0.4284677587437612
4,performance,Roc Auc,0.6805529120669965,0.9159818666942718,0.4389762161559251
4,performance,F1,0.5637651821862347,0.8102472591252524,0.36226948958498095
4,fairness,Demographic Parity Ratio,0.95,0.6205473437738183,0.5945947098654869
4,fairness,Equalized Odds Ratio,0.8894514215942788,0.5471554813541595,0.4993538300836475
