fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,performance,Accuracy,0.7833655705996132,0.7833655705996132,0.4700193423597679
0,performance,Precision,0.9876543209876543,0.9876543209876543,0.5925925925925926
0,performance,Recall,0.418848167539267,0.418848167539267,0.2513089005235602
0,performance,F1,0.5882352941176471,0.5882352941176471,0.3529411764705882
0,performance,Roc Auc,0.7078903414383452,0.7078903414383452,0.4247342048630071
0,fairness,1 - Demographic Parity Difference,0.5,0.5,0.0
0,fairness,1 - Equalized Odds Difference,0.0,0.0,-1.0
1,performance,Accuracy,0.8278529980657641,0.8278529980657641,0.49671179883945843
1,performance,Precision,1.0,1.0,0.6
1,performance,Recall,0.531578947368421,0.531578947368421,0.31894736842105265
1,performance,F1,0.6941580756013745,0.6941580756013745,0.4164948453608247
1,performance,Roc Auc,0.7657894736842106,0.7657894736842106,0.4594736842105263
1,fairness,1 - Demographic Parity Difference,0.6666666666666667,0.6666666666666667,0.33333333333333337
1,fairness,1 - Equalized Odds Difference,0.0,0.0,-1.0
2,performance,Accuracy,0.7906976744186046,0.7906976744186046,0.47441860465116276
2,performance,Precision,0.9659090909090909,0.9659090909090909,0.5795454545454546
2,performance,Recall,0.4473684210526316,0.4473684210526316,0.26842105263157895
2,performance,F1,0.6115107913669064,0.6115107913669064,0.3669064748201438
2,performance,Roc Auc,0.7190829835324508,0.7190829835324508,0.4314497901194705
2,fairness,1 - Demographic Parity Difference,0.782608695652174,0.782608695652174,0.5652173913043479
2,fairness,1 - Equalized Odds Difference,0.3194444444444444,0.3194444444444444,-0.36111111111111116
3,performance,Accuracy,0.7868217054263565,0.7868217054263565,0.4720930232558139
3,performance,Precision,1.0,1.0,0.6
3,performance,Recall,0.42105263157894735,0.42105263157894735,0.25263157894736843
3,performance,F1,0.5925925925925926,0.5925925925925926,0.3555555555555555
3,performance,Roc Auc,0.7105263157894737,0.7105263157894737,0.4263157894736842
3,fairness,1 - Demographic Parity Difference,0.7058823529411764,0.7058823529411764,0.4117647058823529
3,fairness,1 - Equalized Odds Difference,0.2857142857142857,0.2857142857142857,-0.4285714285714286
4,performance,Accuracy,0.8062015503875969,0.8062015503875969,0.48372093023255813
4,performance,Precision,1.0,1.0,0.6
4,performance,Recall,0.47368421052631576,0.47368421052631576,0.28421052631578947
4,performance,F1,0.6428571428571429,0.6428571428571429,0.38571428571428573
4,performance,Roc Auc,0.7368421052631579,0.7368421052631579,0.4421052631578947
4,fairness,1 - Demographic Parity Difference,0.7981220657276995,0.7981220657276995,0.596244131455399
4,fairness,1 - Equalized Odds Difference,0.36363636363636365,0.36363636363636365,-0.2727272727272727
