Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Engineering,Consultant,3,2,3,3,2,4,Yes,Yes,Positive
Not a protected category 40 - 45 years,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Law,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,3,1,1,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,3,3,3,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Economic,Five-year degree,Others,Support,Support Advanced,2,2,2,2,2,2,Yes,Yes,Positive
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,3,3,3,3,2,2,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Scientific Field,Five-year degree,Life sciences,Engineering,Consultant,2,2,3,3,1,2,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,3,2,3,3,3,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Female,Engineering,Doctorate,Others,Engineering,Qualified Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Others,Engineering,Qualified Consultant,3,2,2,2,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Engineering,Consultant,3,3,3,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,3,3,3,2,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Engineering,Consultant,3,3,2,2,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Space,Engineering,Consultant,2,2,2,2,2,3,Yes,No,Negative
Not a protected category > 45 years,Male,Scientific Field,High school graduation,Railway,Engineering,Team Leader,3,2,3,2,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Defence,Engineering,Consultant,3,3,2,3,3,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,3,2,1,1,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Unemployed,Tech Consulting & Solutions,Advanced Consultant,3,2,2,3,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Naval,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Others,Tech Consulting & Solutions,Consultant,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Consulting,Engineering,Consultant,2,2,2,2,3,2,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Consulting,Business & Sales,Business Manager,4,3,3,3,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Aeronautics,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Space,Engineering,Consultant,2,3,2,2,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,4,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Doctorate,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Telecom,Engineering,Junior Consultant,2,3,3,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Engineering,Qualified Consultant,3,3,3,4,2,4,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,3,3,3,1,3,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Telecom,Engineering,Qualified Consultant,3,2,3,3,2,2,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Defence,Engineering,Consultant,3,3,2,1,1,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Automotive,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Informatics,High school graduation,Defence,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Informatics,High school graduation,Life sciences,Engineering,Consultant,2,3,3,1,1,3,Yes,Yes,Positive
