fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,performance,Accuracy,0.7369439071566731,0.7833655705996132,0.34216634429400383
0,performance,Precision,0.8089887640449438,0.9876543209876544,0.38539325842696615
0,performance,Recall,0.3769633507853403,0.418848167539267,0.12617801047120408
0,performance,F1,0.5142857142857142,0.5882352941176471,0.2085714285714285
0,performance,Roc Auc,0.6624080557607683,0.7078903414383452,0.297444833456461
0,fairness, Demographic Parity Ratio,0.5,0.5,0.0
0,fairness, Equalized Odds Ratio,0.0,0.0,0.0
1,performance,Accuracy,0.7620889748549323,0.8278529980657641,0.3572533849129593
1,performance,Precision,0.935064935064935,1.0,0.461038961038961
1,performance,Recall,0.3789473684210526,0.531578947368421,0.1273684210526315
1,performance,F1,0.5393258426966292,0.6941580756013745,0.2235955056179775
1,performance,Roc Auc,0.6818284242716884,0.7657894736842106,0.30909705456301295
1,fairness, Demographic Parity Ratio,0.7317073170731707,0.6666666666666667,0.36341463414634134
1,fairness, Equalized Odds Ratio,0.4666666666666667,0.0,0.0
2,performance,Accuracy,0.7693798449612403,0.7906976744186046,0.3616279069767441
2,performance,Precision,0.9863013698630136,0.9659090909090908,0.49178082191780825
2,performance,Recall,0.3789473684210526,0.4473684210526316,0.1273684210526315
2,performance,F1,0.5475285171102662,0.6115107913669064,0.2285171102661597
2,performance,Roc Auc,0.687939941879238,0.7190829835324508,0.3127639651275428
2,fairness, Demographic Parity Ratio,0.7272727272727273,0.782608695652174,0.3545454545454546
2,fairness, Equalized Odds Ratio,0.4117647058823529,0.3194444444444444,0.0
3,performance,Accuracy,0.7034883720930233,0.7868217054263565,0.3220930232558139
3,performance,Precision,0.9302325581395348,1.0,0.45813953488372094
3,performance,Recall,0.2105263157894736,0.4210526315789473,0.02631578947368418
3,performance,F1,0.3433476394849785,0.5925925925925926,0.10600858369098709
3,performance,Roc Auc,0.6006619309008718,0.7105263157894737,0.26039715854052314
3,fairness, Demographic Parity Ratio,0.8135593220338984,0.7058823529411764,0.5271186440677966
3,fairness, Equalized Odds Ratio,0.6086956521739131,0.2857142857142857,0.11739130434782599
4,performance,Accuracy,0.7635658914728682,0.8062015503875969,0.35813953488372086
4,performance,Precision,0.9857142857142858,1.0,0.49142857142857144
4,performance,Recall,0.3631578947368421,0.4736842105263157,0.11789473684210519
4,performance,F1,0.5307692307692308,0.6428571428571429,0.2184615384615384
4,performance,Roc Auc,0.6800452050371327,0.7368421052631579,0.30802712302227964
4,fairness, Demographic Parity Ratio,0.813953488372093,0.7981220657276995,0.5279069767441861
4,fairness, Equalized Odds Ratio,0.4545454545454546,0.3636363636363636,0.0
