fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,performance,Accuracy,0.7369439071566731,0.7833655705996132,0.6344294003868471
0,performance,Precision,0.8089887640449438,0.9876543209876544,0.5555555555555556
0,performance,Recall,0.3769633507853403,0.418848167539267,0.05235602094240838
0,performance,F1,0.5142857142857142,0.5882352941176471,0.09569377990430622
0,performance,Roc Auc,0.6624080557607683,0.7078903414383452,0.5139080718208974
0,fairness, Demographic Parity Ratio,0.85,0.5,0.7
0,fairness, Equalized Odds Ratio,0.8125,0.0,0.625
1,performance,Accuracy,0.7620889748549323,0.8278529980657641,0.6363636363636364
1,performance,Precision,0.935064935064935,1.0,0.8
1,performance,Recall,0.3789473684210526,0.531578947368421,0.010526315789473684
1,performance,F1,0.5393258426966292,0.6941580756013745,0.020833333333333332
1,performance,Roc Auc,0.6818284242716884,0.7657894736842106,0.5052631578947369
1,fairness, Demographic Parity Ratio,0.9876543209876544,0.6666666666666667,0.9753086419753086
1,fairness, Equalized Odds Ratio,0.96875,0.0,0.9375
2,performance,Accuracy,0.7693798449612403,0.7906976744186046,0.7112403100775194
2,performance,Precision,0.9863013698630136,0.9659090909090908,0.8596491228070176
2,performance,Recall,0.3789473684210526,0.4473684210526316,0.2578947368421053
2,performance,F1,0.5475285171102662,0.6115107913669064,0.3967611336032389
2,performance,Roc Auc,0.687939941879238,0.7190829835324508,0.6166774297707459
2,fairness, Demographic Parity Ratio,0.8292682926829268,0.782608695652174,0.6585365853658536
2,fairness, Equalized Odds Ratio,0.5384615384615384,0.3194444444444444,0.0769230769230768
3,performance,Accuracy,0.7034883720930233,0.7868217054263565,0.686046511627907
3,performance,Precision,0.9302325581395348,1.0,0.75
3,performance,Recall,0.2105263157894736,0.4210526315789473,0.22105263157894736
3,performance,F1,0.3433476394849785,0.5925925925925926,0.34146341463414637
3,performance,Roc Auc,0.6006619309008718,0.7105263157894737,0.5890539231514369
3,fairness, Demographic Parity Ratio,0.8309859154929577,0.7058823529411764,0.6619718309859155
3,fairness, Equalized Odds Ratio,0.6551724137931034,0.2857142857142857,0.3103448275862068
4,performance,Accuracy,0.7635658914728682,0.8062015503875969,0.6317829457364341
4,performance,Precision,0.9857142857142858,1.0,0.5
4,performance,Recall,0.3631578947368421,0.4736842105263157,0.07894736842105263
4,performance,F1,0.5307692307692308,0.6428571428571429,0.13636363636363635
4,performance,Roc Auc,0.6800452050371327,0.7368421052631579,0.5164675492412012
4,fairness, Demographic Parity Ratio,0.8200000000000001,0.7981220657276995,0.64
4,fairness, Equalized Odds Ratio,0.7777777777777778,0.3636363636363636,0.5555555555555556
