cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Male,45-54,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Female,45-54,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,15-24,TS,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,55-74,UD,Other,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,55-74,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Female,45-54,GO,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,UD ,Not Hired
North Male,25-34,MI,High School,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,35-44,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,45-54,BG,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,BG,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,35-44,BG,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
South Male,35-44,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,35-44,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,45-54,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,15-24,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,35-44,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,25-34,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,35-44,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,25-34,CB,Other,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,45-54,CB,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
South Male,25-34,CH,Unknown,Lavoro subordinato,Operai Specializzati,CH ,Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,25-34,AL,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,45-54,VA,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,45-54,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,35-44,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,55-74,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,55-74,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,55-74,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,25-34,NO,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Hired
North Female,55-74,VR,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Hired
North Male,45-54,BS,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,15-24,BG,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Female,45-54,BS,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,MN,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,55-74,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,BG,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,15-24,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,55-74,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,45-54,UD,Other,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,55-74,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Vocational Certificate,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,25-34,BG,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,CO,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,35-44,VA,Vocational Certificate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,25-34,MI,High School,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Undergraduate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,35-44,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,35-44,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,35-44,MN,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,PR,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,CR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,PR,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,25-34,BS,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,55-74,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,BS,High School,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,MI,Graduate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,NO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,BG,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,PR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,45-54,CR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,CR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,35-44,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,45-54,PV,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
