Sex_int,Protected category,Overall,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,Italian Residence,European Residence,Age Range_int,number_of_searches,experience_match_score,study_title_score,professional_similarity_score,study_area_score,general_similarity_score,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ,Hired
0,False,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,True,True,0,696.0,-0.3333333333333333,0.0,0.3625951409339905,0.5571199655532837,0.4970426559448242,503.05167789033766,503.05167789033766,0
1,False,3.0,2.5,3.0,3.0,3.0,3.0,1.0,3.0,True,True,2,337.0,0.0,0.0,0.4314700961112976,1.0,0.5568186640739441,241.5962123968957,74.28616516241853,1
1,False,2.6666666666666665,2.333333333333333,2.333333333333333,2.333333333333333,1.6666666666666667,2.0,2.0,3.0,True,True,3,510.0,0.0,0.0,0.3180050253868103,0.3235668838024139,0.4922040104866028,506.6340527922564,506.6340527922564,0
1,False,3.0,3.0,2.6666666666666665,3.0,3.0,3.0,2.6666666666666665,3.0,True,True,3,464.0,0.8333333333333334,0.0,0.3320608139038086,0.6022917032241821,0.4711630940437317,190.77726268529028,112.20260991677485,0
1,False,2.0,1.5,2.0,2.5,2.0,2.0,3.0,2.5,True,True,0,531.0,0.0,0.0,0.2961212992668152,0.2908903956413269,0.5297132730484009,126.36801588664628,525.6548809246697,0
1,False,3.0,2.5,3.0,2.5,2.5,3.0,3.0,3.0,True,True,0,510.0,-0.1666666666666666,0.1666666666666666,0.486219584941864,0.0721558779478073,0.5426859259605408,477.5670330053997,477.5670330053997,0
1,False,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,True,True,2,480.6666666666667,0.5,0.0,0.3179021179676056,0.7683122158050537,0.5445444583892822,261.2904898703645,261.2904898703645,0
0,False,3.0,2.0,3.0,3.0,2.5,2.5,2.5,3.0,True,True,2,494.0,0.1666666666666666,-0.1666666666666666,0.2672879695892334,0.6472595930099487,0.5496971607208252,236.7781211501651,236.7781211501651,1
1,False,2.5,2.5,3.0,3.0,3.0,1.5,1.0,2.5,True,True,4,648.0,0.3333333333333333,0.0,0.4646806120872497,1.0,0.4925529360771179,0.0,29.04482899479023,1
1,False,2.0,2.0,2.0,2.5,2.0,2.5,3.0,2.5,True,True,1,803.6666666666666,-0.3333333333333333,0.1666666666666666,0.1247882694005966,0.7496175765991211,0.4480970501899719,127.04642594510386,643.2323166716124,0
1,False,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,True,True,2,649.0,-0.3333333333333333,0.0,0.1477475464344024,0.6022917032241821,0.4943037927150726,193.9022076507089,193.9022076507089,0
1,False,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,True,True,2,695.0,0.1666666666666666,0.1666666666666666,0.6261963844299316,0.1150921285152435,0.479123055934906,249.65984986851885,249.65984986851885,0
1,False,2.0,2.5,2.0,2.0,2.5,2.5,2.0,2.0,True,True,6,865.0,1.0,-0.1666666666666666,0.2219731211662292,1.0,0.4678882658481598,0.0,0.0,1
1,False,2.0,2.0,2.0,2.5,3.0,2.0,1.5,3.0,True,True,2,1069.0,-0.1666666666666666,-0.3333333333333333,0.7611125111579895,0.4734894037246704,0.5623819828033447,0.0,0.0,1
0,False,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,True,True,3,957.25,0.0,0.0,0.4981886744499206,0.8313071727752686,0.6062372326850891,725.7858894968024,725.7858894968024,0
1,False,2.25,2.0,2.75,2.5,2.75,2.5,1.5,3.0,True,True,6,159.0,0.5,0.0,0.3360037803649902,0.5692874193191528,0.5833781361579895,0.0,0.0,1
1,False,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,2.333333333333333,3.0,True,True,2,793.0,0.0,0.0,0.2238552272319793,0.2472821325063705,0.4504752159118652,420.70037769585286,420.70037769585286,0
1,False,2.6666666666666665,2.6666666666666665,2.0,2.6666666666666665,2.333333333333333,2.333333333333333,2.333333333333333,3.333333333333333,True,True,2,722.25,0.0,-0.3333333333333333,0.1747366487979889,0.3236594796180725,0.529369592666626,109.5158432966228,109.5158432966228,0
0,False,3.0,3.0,2.5,3.0,2.5,2.5,2.5,2.0,True,True,3,582.3333333333334,-0.5,0.0,0.5495824217796326,1.0,0.4178786277770996,0.0,702.4569821023338,1
1,False,2.0,1.5,2.0,2.5,2.0,1.5,1.5,2.0,True,True,3,349.0,-0.5,-0.1666666666666666,0.3630064725875854,0.4741823971271515,0.5727813243865967,483.7900692033902,485.3684785782992,0
1,False,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,True,True,2,453.0,-0.1666666666666666,0.0,0.128798559308052,0.4994499087333679,0.4884496927261352,184.026977506323,77.38384501848373,0
1,False,2.5,2.5,2.0,2.5,2.0,2.5,2.5,3.0,True,True,2,394.0,0.0,0.0,0.128798559308052,1.0,0.3227537274360657,1007.7540858459548,1007.7540858459548,1
1,False,2.0,2.0,2.5,2.0,2.0,2.5,3.0,3.0,True,True,2,453.0,0.1666666666666666,0.0,0.1907888054847717,0.5248866081237793,0.5427830219268799,1086.563815137573,1086.563815137573,0
1,False,2.5,2.5,2.5,2.0,3.0,2.5,3.0,3.0,True,True,6,528.0,0.6666666666666666,-0.3333333333333333,0.5021998882293701,0.3039911389350891,0.6777883172035217,25.8598847515904,25.8598847515904,1
0,False,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,True,True,3,825.0,0.0,0.0,0.3018917441368103,0.2235385477542877,0.7221169471740723,34.88279023946917,34.88279023946917,1
1,False,3.0,2.6666666666666665,2.6666666666666665,2.333333333333333,2.0,2.0,2.333333333333333,3.0,True,True,0,968.0,0.5,0.0,0.3340927958488464,1.0,0.6258891820907593,264.57857977864154,264.57857977864154,1
1,False,2.6666666666666665,2.6666666666666665,3.0,3.0,3.0,1.6666666666666667,1.6666666666666667,3.0,True,True,0,672.0,0.5,0.0,0.5245082378387451,1.0000001192092896,0.5396184325218201,112.65323953645284,112.65323953645284,0
1,False,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,3,289.0,0.3333333333333333,0.1666666666666666,0.4129261076450348,1.0000001192092896,0.534416675567627,710.0179936053569,710.0179936053569,0
1,False,2.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,True,True,1,822.6,-0.1666666666666666,0.0,0.3575295209884643,0.292717307806015,0.5544178485870361,483.9145799319362,490.7292360226125,0
1,False,2.0,2.0,2.333333333333333,2.333333333333333,1.6666666666666667,2.0,2.333333333333333,3.0,True,True,2,1255.0,0.1666666666666666,0.0,0.0622538849711418,0.5629082918167114,0.4658505916595459,124.50248874849024,124.50248874849024,0
1,False,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,True,True,0,532.6666666666666,0.5,0.0,0.182209700345993,0.6458431482315063,0.532606840133667,140.42415276534803,585.1747260990924,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.5,3.0,True,True,2,183.0,-0.1666666666666666,0.0,0.172579824924469,0.6472595930099487,0.5753016471862793,518.3495036344408,518.3495036344408,0
1,False,1.0,1.0,2.0,1.5,1.5,2.0,3.0,3.0,True,True,5,255.0,0.0,0.0,0.3841872811317444,1.0,0.6362287998199463,261.812137191828,261.812137191828,0
