fold,metric_type,metric,value_nomitig,value_mitig,value_pol
0,fairness,Iatrogenic Drug Induced Exanthema,0.7105,0.895,0.6949
1,fairness,Iatrogenic Drug Induced Exanthema,0.7184,0.8453,0.6846
2,fairness,Iatrogenic Drug Induced Exanthema,0.7309,0.8758,0.7077
3,fairness,Iatrogenic Drug Induced Exanthema,0.7202,0.8639,0.7127
0,fairness,Maculopapular Exanthema,0.7511,0.934,0.5463
1,fairness,Maculopapular Exanthema,0.747,0.9308,0.5461
2,fairness,Maculopapular Exanthema,0.749,0.9265,0.5777
3,fairness,Maculopapular Exanthema,0.7129,0.9287,0.57
0,fairness,Morbilliform Exanthema,0.7469,0.9219,0.7507
1,fairness,Morbilliform Exanthema,0.7901,0.8834,0.7872
2,fairness,Morbilliform Exanthema,0.7424,0.8867,0.7742
3,fairness,Morbilliform Exanthema,0.7607,0.9479,0.7679
0,fairness,Polymorphous Exanthema,0.7276,0.513,0.7746
1,fairness,Polymorphous Exanthema,0.7278,0.5418,0.7853
2,fairness,Polymorphous Exanthema,0.7101,0.5464,0.8017
3,fairness,Polymorphous Exanthema,0.7545,0.5587,0.7984
0,fairness,Viral Exanthema,0.9316,0.9089,0.7831
1,fairness,Viral Exanthema,0.8799,0.9142,0.7674
2,fairness,Viral Exanthema,0.9253,0.8932,0.734
3,fairness,Viral Exanthema,0.9032,0.9237,0.7555
0,fairness,Urticaria,0.7309,0.8068,0.928
1,fairness,Urticaria,0.7602,0.8133,0.9295
2,fairness,Urticaria,0.7361,0.7667,0.9185
3,fairness,Urticaria,0.7327,0.7333,0.944
0,fairness,Pediculosis,0.5951,0.8646,0.418
1,fairness,Pediculosis,0.6114,0.9036,0.4405
2,fairness,Pediculosis,0.6328,0.8736,0.411
3,fairness,Pediculosis,0.6006,0.8782,0.4506
0,fairness,Scabies,0.076,0.3878,0.9166
1,fairness,Scabies,0.1084,0.4037,0.911
2,fairness,Scabies,0.1364,0.4243,0.9051
3,fairness,Scabies,0.0792,0.3841,0.9073
0,fairness,Chickenpox,0.3765,0.3834,0.4035
1,fairness,Chickenpox,0.3422,0.4017,0.4063
2,fairness,Chickenpox,0.3385,0.3994,0.4433
3,fairness,Chickenpox,0.3428,0.4155,0.4269
0,performance,Accuracy,0.9308,0.9324,0.8997
1,performance,Accuracy,0.9221,0.8956,0.8962
2,performance,Accuracy,0.8883,0.9089,0.9059
3,performance,Accuracy,0.9108,0.8951,0.9062
0,performance,F1,0.8929,0.9006,0.8972
1,performance,F1,0.9181,0.9174,0.9152
2,performance,F1,0.8947,0.922,0.8977
3,performance,F1,0.8944,0.9,0.8899
