fold,metric_type,metric,value_nomitig,value_mitig,value_pol
0,fairness,Iatrogenic Drug Induced Exanthema,0.7412,0.7147,0.7122
1,fairness,Iatrogenic Drug Induced Exanthema,0.7287,0.7004,0.7107
2,fairness,Iatrogenic Drug Induced Exanthema,0.7071,0.7428,0.6993
3,fairness,Iatrogenic Drug Induced Exanthema,0.703,0.7222,0.6779
0,fairness,Maculopapular Exanthema,0.7556,0.7389,0.5644
1,fairness,Maculopapular Exanthema,0.7505,0.7572,0.5567
2,fairness,Maculopapular Exanthema,0.7277,0.751,0.5687
3,fairness,Maculopapular Exanthema,0.7262,0.7129,0.5502
0,fairness,Morbilliform Exanthema,0.7845,0.7597,0.7843
1,fairness,Morbilliform Exanthema,0.7508,0.7499,0.7534
2,fairness,Morbilliform Exanthema,0.7433,0.773,0.7883
3,fairness,Morbilliform Exanthema,0.7615,0.7574,0.754
0,fairness,Polymorphous Exanthema,0.7299,0.7433,0.7791
1,fairness,Polymorphous Exanthema,0.7057,0.7292,0.7889
2,fairness,Polymorphous Exanthema,0.6936,0.7148,0.7674
3,fairness,Polymorphous Exanthema,0.7909,0.7327,0.8247
0,fairness,Viral Exanthema,0.91,0.8698,0.7722
1,fairness,Viral Exanthema,0.9041,0.9299,0.7488
2,fairness,Viral Exanthema,0.8852,0.9136,0.7831
3,fairness,Viral Exanthema,0.9407,0.9267,0.7358
0,fairness,Urticaria,0.7607,0.7354,0.941
1,fairness,Urticaria,0.7361,0.7263,0.9432
2,fairness,Urticaria,0.7306,0.7574,0.9345
3,fairness,Urticaria,0.7326,0.7409,0.9013
0,fairness,Pediculosis,0.606,0.6156,0.4095
1,fairness,Pediculosis,0.5962,0.5787,0.4524
2,fairness,Pediculosis,0.6068,0.6284,0.4397
3,fairness,Pediculosis,0.631,0.6174,0.4184
0,fairness,Scabies,0.0985,0.1118,0.9196
1,fairness,Scabies,0.0957,0.0806,0.8512
2,fairness,Scabies,0.0968,0.0958,0.9337
3,fairness,Scabies,0.109,0.1118,0.9355
0,fairness,Chickenpox,0.3469,0.3232,0.4128
1,fairness,Chickenpox,0.382,0.3426,0.4401
2,fairness,Chickenpox,0.3274,0.3873,0.3951
3,fairness,Chickenpox,0.3437,0.347,0.4319
0,performance,Accuracy,0.9348,0.9216,0.9147
1,performance,Accuracy,0.9194,0.9235,0.9168
2,performance,Accuracy,0.8937,0.8934,0.8855
3,performance,Accuracy,0.9041,0.9136,0.891
0,performance,F1,0.874,0.9346,0.9089
1,performance,F1,0.8933,0.9136,0.9003
2,performance,F1,0.9133,0.8882,0.8803
3,performance,F1,0.9194,0.8636,0.9105
