fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,fairness,Demographic Parity Ratio,0.844433751207478,0.844433751207478,0.7528628454294652
0,fairness,Equalized Odds Ratio,0.8162359283335975,0.8162359283335975,0.7532905067808707
0,performance,Accuracy,0.7303980699638118,0.7303980699638118,0.669481302774427
0,performance,F1,0.6405307599517491,0.6405307599517491,0.6693870124955426
0,performance,Precision,0.640418148862546,0.640418148862546,0.6694444565702953
0,performance,Recall,0.6406441741615795,0.6406441741615795,0.6696103063803136
0,performance,Roc Auc,0.6406441741615795,0.6406441741615795,0.6696103063803136
1,fairness,Demographic Parity Ratio,0.837819008113873,0.837819008113873,0.7394667477696675
1,fairness,Equalized Odds Ratio,0.7565405016632203,0.7565405016632203,0.8093574429913601
1,performance,Accuracy,0.744270205066345,0.744270205066345,0.6863691194209891
1,performance,F1,0.6530942567941005,0.6530942567941005,0.6863672939611808
1,performance,Precision,0.6502539328626284,0.6502539328626284,0.6863691194209891
1,performance,Recall,0.6564303446497082,0.6564303446497082,0.6863734584742989
1,performance,Roc Auc,0.6564303446497082,0.6564303446497082,0.6863734584742988
2,fairness,Demographic Parity Ratio,0.8577956557298616,0.8577956557298616,0.7054345044192154
2,fairness,Equalized Odds Ratio,0.7425130795598053,0.7425130795598053,0.665575221238938
2,performance,Accuracy,0.7599517490952955,0.7599517490952955,0.6984318455971049
2,performance,F1,0.6775895090681676,0.6775895090681676,0.6983194684017846
2,performance,Precision,0.6759085067508981,0.6759085067508981,0.6984318455971049
2,performance,Recall,0.6794001768597913,0.6794001768597913,0.698727953402495
2,performance,Roc Auc,0.6794001768597913,0.6794001768597913,0.698727953402495
3,fairness,Demographic Parity Ratio,0.865800803154734,0.865800803154734,0.7774473665190141
3,fairness,Equalized Odds Ratio,0.8334006734006735,0.8334006734006735,0.763547300744974
3,performance,Accuracy,0.7310012062726177,0.7310012062726177,0.6942098914354644
3,performance,F1,0.6530221925254134,0.6530221925254134,0.6942088902874002
3,performance,Precision,0.6584768680514496,0.6584768680514496,0.6942098914354644
3,performance,Recall,0.6489449893141566,0.6489449893141566,0.6942124348109517
3,performance,Roc Auc,0.6489449893141566,0.6489449893141566,0.6942124348109517
4,fairness,Demographic Parity Ratio,0.8261845104118005,0.8261845104118005,0.7259586488760669
4,fairness,Equalized Odds Ratio,0.7513560804899388,0.7513560804899388,0.7194616336633664
4,performance,Accuracy,0.7496984318455971,0.7496984318455971,0.6869722557297949
4,performance,F1,0.6640931070423428,0.6640931070423428,0.6869530103190671
4,performance,Precision,0.662921032480687,0.662921032480687,0.6869722557297949
4,performance,Recall,0.665335463258786,0.665335463258786,0.6870182455404965
4,performance,Roc Auc,0.665335463258786,0.665335463258786,0.6870182455404966
